date,amount,category,merchant,description,type,currency,balance
2024-01-02,-5029.43,Shopping,Local Mall,Shopping at Local Mall,debit,INR,-5029.43
2024-01-03,-321.08,Shopping,Brand Factory,Shopping at Brand Factory,debit,INR,-5350.51
2024-01-03,-1692.17,Utilities,DTH Recharge,Utilities at DTH Recharge,debit,INR,-7042.68
2024-01-04,-1231.32,Groceries,DMart,Groceries at DMart,debit,INR,-8274.0
2024-01-04,-3975.3,Shopping,Brand Factory,Shopping at Brand Factory,debit,INR,-12249.3
2024-01-04,-299.05,Entertainment,PVR Cinemas,Entertainment at PVR Cinemas,debit,INR,-12548.349999999999
2024-01-05,-541.25,Entertainment,Netflix India,Entertainment at Netflix India,debit,INR,-13089.599999999999
2024-01-05,-465.08,Healthcare,Local Clinic,Healthcare at Local Clinic,debit,INR,-13554.679999999998
2024-01-06,-301.51,Groceries,Local Kirana,Groceries at Local Kirana,debit,INR,-13856.189999999999
2024-01-07,-2404.41,Shopping,Local Mall,Shopping at Local Mall,debit,INR,-16260.599999999999
2024-01-07,-201.86,Transport,Indian Oil,Transport at Indian Oil,debit,INR,-16462.46
2024-01-08,-437.91,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,-16900.37
2024-01-08,-509.17,Transport,Indian Oil,Transport at Indian Oil,debit,INR,-17409.539999999997
2024-01-09,-388.35,Transport,Uber,Transport at Uber,debit,INR,-17797.889999999996
2024-01-10,-391.14,Dining Out,Swiggy,Dining Out at Swiggy,debit,INR,-18189.029999999995
2024-01-11,-805.09,Dining Out,Local Restaurant,Dining Out at Local Restaurant,debit,INR,-18994.119999999995
2024-01-12,-401.05,Transport,Indian Oil,Transport at Indian Oil,debit,INR,-19395.169999999995
2024-01-12,-347.63,Healthcare,Medical Tests,Healthcare at Medical Tests,debit,INR,-19742.799999999996
2024-01-14,-255.65,Groceries,Local Kirana,Groceries at Local Kirana,debit,INR,-19998.449999999997
2024-01-14,-701.3,Groceries,Reliance Fresh,Groceries at Reliance Fresh,debit,INR,-20699.749999999996
2024-01-14,-722.82,Groceries,Spencer's,Groceries at Spencer's,debit,INR,-21422.569999999996
2024-01-15,-515.31,Healthcare,Medical Tests,Healthcare at Medical Tests,debit,INR,-21937.879999999997
2024-01-16,-572.17,Transport,Delhi Metro,Transport at Delhi Metro,debit,INR,-22510.049999999996
2024-01-16,-2905.17,Shopping,Medical Store,Shopping at Medical Store,debit,INR,-25415.219999999994
2024-01-16,-1374.3,Groceries,More Supermarket,Groceries at More Supermarket,debit,INR,-26789.519999999993
2024-01-17,-2197.35,Shopping,Local Mall,Shopping at Local Mall,debit,INR,-28986.86999999999
2024-01-18,-349.43,Utilities,Gas Agency,Utilities at Gas Agency,debit,INR,-29336.299999999992
2024-01-18,-906.58,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,-30242.879999999994
2024-01-19,-768.56,Dining Out,Swiggy,Dining Out at Swiggy,debit,INR,-31011.439999999995
2024-01-19,-2633.22,Groceries,More Supermarket,Groceries at More Supermarket,debit,INR,-33644.659999999996
2024-01-19,-1704.35,Groceries,Spencer's,Groceries at Spencer's,debit,INR,-35349.009999999995
2024-01-22,-2026.73,Shopping,Local Mall,Shopping at Local Mall,debit,INR,-37375.74
2024-01-22,-163.73,Dining Out,Zomato,Dining Out at Zomato,debit,INR,-37539.47
2024-01-22,-332.03,Transport,HP Petrol,Transport at HP Petrol,debit,INR,-37871.5
2024-01-22,-1085.42,Groceries,Local Kirana,Groceries at Local Kirana,debit,INR,-38956.92
2024-01-23,-1020.02,Other,Miscellaneous,Other at Miscellaneous,debit,INR,-39976.939999999995
2024-01-24,-839.62,Groceries,Reliance Fresh,Groceries at Reliance Fresh,debit,INR,-40816.56
2024-01-24,-2099.83,Groceries,Spencer's,Groceries at Spencer's,debit,INR,-42916.39
